"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2014年12月31日","3,234.68","3,172.60","3,239.36","3,157.26","40.60B","2.18%"
"2014年12月30日","3,165.81","3,160.80","3,190.30","3,130.35","39.77B","-0.07%"
"2014年12月29日","3,168.02","3,212.56","3,223.86","3,126.94","51.01B","0.33%"
"2014年12月26日","3,157.60","3,078.01","3,164.16","3,064.18","46.07B","2.77%"
"2014年12月25日","3,072.54","2,992.46","3,073.35","2,969.87","37.69B","3.36%"
"2014年12月24日","2,972.53","3,039.21","3,050.51","2,934.91","37.68B","-1.98%"
"2014年12月23日","3,032.61","3,085.08","3,136.84","3,025.67","43.78B","-3.03%"
"2014年12月22日","3,127.44","3,129.27","3,189.87","3,090.51","67.94B","0.61%"
"2014年12月19日","3,108.60","3,053.07","3,117.53","3,018.42","52.11B","1.67%"
"2014年12月18日","3,057.52","3,062.80","3,089.79","3,030.32","43.59B","-0.11%"
"2014年12月17日","3,061.02","3,031.95","3,076.60","2,993.33","54.25B","1.31%"
"2014年12月16日","3,021.52","2,953.81","3,021.90","2,943.91","45.38B","2.31%"
"2014年12月15日","2,953.42","2,921.45","2,960.23","2,890.90","40.04B","0.52%"
"2014年12月12日","2,938.17","2,929.36","2,962.51","2,914.96","40.95B","0.42%"
"2014年12月11日","2,925.74","2,912.35","2,965.67","2,892.61","48.26B","-0.49%"
"2014年12月10日","2,940.01","2,855.94","2,946.71","2,807.68","51.29B","2.93%"
"2014年12月9日","2,856.27","2,992.49","3,091.32","2,834.59","77.20B","-5.43%"
"2014年12月8日","3,020.26","2,907.82","3,041.66","2,879.85","58.76B","2.81%"
"2014年12月5日","2,937.65","2,926.57","2,978.03","2,813.05","64.05B","1.32%"
"2014年12月4日","2,899.46","2,783.47","2,900.51","2,772.43","53.27B","4.31%"
"2014年12月3日","2,779.53","2,768.68","2,824.18","2,733.87","56.21B","0.58%"
"2014年12月2日","2,763.54","2,667.82","2,777.37","2,665.69","43.77B","3.11%"
"2014年12月1日","2,680.16","2,691.72","2,720.74","2,668.84","44.68B","-0.10%"
"2014年11月28日","2,682.83","2,629.63","2,683.18","2,622.06","46.59B","1.99%"
"2014年11月27日","2,630.49","2,615.37","2,631.40","2,599.11","36.41B","1.00%"
"2014年11月26日","2,604.35","2,572.65","2,605.07","2,570.40","33.71B","1.43%"
"2014年11月25日","2,567.60","2,532.00","2,568.38","2,527.08","31.43B","1.37%"
"2014年11月24日","2,532.88","2,505.53","2,546.75","2,495.52","36.35B","1.85%"
"2014年11月21日","2,486.79","2,452.63","2,488.20","2,446.65","21.22B","1.39%"
"2014年11月20日","2,452.66","2,443.28","2,458.32","2,437.48","16.55B","0.07%"
"2014年11月19日","2,450.99","2,452.15","2,461.49","2,442.71","18.62B","-0.22%"
"2014年11月18日","2,456.37","2,474.18","2,477.05","2,449.81","20.11B","-0.71%"
"2014年11月17日","2,474.01","2,506.86","2,508.77","2,472.45","21.57B","-0.19%"
"2014年11月14日","2,478.82","2,477.97","2,481.02","2,457.05","22.06B","-0.27%"
"2014年11月13日","2,485.61","2,495.00","2,507.74","2,471.41","29.50B","-0.36%"
"2014年11月12日","2,494.48","2,454.60","2,494.92","2,444.81","25.29B","1.00%"
"2014年11月11日","2,469.67","2,483.65","2,508.62","2,445.96","41.19B","-0.16%"
"2014年11月10日","2,473.67","2,436.63","2,474.16","2,428.19","30.06B","2.30%"
"2014年11月7日","2,418.17","2,427.90","2,454.42","2,407.44","29.12B","-0.32%"
"2014年11月6日","2,425.86","2,419.62","2,426.89","2,401.75","22.20B","0.27%"
"2014年11月5日","2,419.25","2,432.17","2,434.36","2,415.50","26.36B","-0.47%"
"2014年11月4日","2,430.68","2,428.27","2,435.22","2,417.22","30.90B","0.03%"
"2014年11月3日","2,430.03","2,425.22","2,436.79","2,418.17","29.88B","0.41%"
"2014年10月31日","2,420.18","2,393.18","2,423.60","2,384.48","32.58B","1.22%"
"2014年10月30日","2,391.08","2,371.89","2,397.26","2,365.92","29.46B","0.76%"
"2014年10月29日","2,373.03","2,343.72","2,381.64","2,339.71","26.56B","1.50%"
"2014年10月28日","2,337.87","2,294.01","2,338.28","2,294.01","17.86B","2.07%"
"2014年10月27日","2,290.44","2,293.57","2,293.64","2,279.84","13.03B","-0.51%"
"2014年10月24日","2,302.28","2,303.08","2,314.87","2,296.66","13.22B","-0.01%"
"2014年10月23日","2,302.42","2,322.32","2,329.93","2,297.33","16.26B","-1.04%"
"2014年10月22日","2,326.55","2,339.22","2,352.12","2,324.59","15.27B","-0.56%"
"2014年10月21日","2,339.66","2,355.03","2,361.65","2,337.55","16.88B","-0.72%"
"2014年10月20日","2,356.73","2,346.05","2,357.51","2,340.46","16.00B","0.66%"
"2014年10月17日","2,341.18","2,352.78","2,360.60","2,312.83","21.23B","-0.65%"
"2014年10月16日","2,356.50","2,361.13","2,389.67","2,353.41","24.82B","-0.72%"
"2014年10月15日","2,373.67","2,358.23","2,374.81","2,344.37","20.28B","0.60%"
"2014年10月14日","2,359.47","2,362.80","2,380.52","2,349.19","19.68B","-0.28%"
"2014年10月13日","2,366.01","2,366.43","2,366.86","2,341.12","20.09B","-0.36%"
"2014年10月10日","2,374.54","2,380.76","2,386.28","2,365.07","22.47B","-0.62%"
"2014年10月9日","2,389.37","2,383.86","2,391.35","2,367.11","23.59B","0.28%"
"2014年10月8日","2,382.79","2,368.58","2,382.79","2,354.29","20.44B","0.80%"
"2014年9月30日","2,363.87","2,361.32","2,365.49","2,354.27","19.39B","0.26%"
"2014年9月29日","2,357.71","2,353.71","2,363.06","2,346.58","20.01B","0.43%"
"2014年9月26日","2,347.72","2,339.29","2,350.11","2,329.96","17.47B","0.11%"
"2014年9月25日","2,345.10","2,352.86","2,365.15","2,336.81","22.57B","0.07%"
"2014年9月24日","2,343.57","2,302.23","2,345.75","2,297.88","22.25B","1.47%"
"2014年9月23日","2,309.72","2,289.09","2,311.53","2,289.02","15.69B","0.87%"
"2014年9月22日","2,289.87","2,323.55","2,323.55","2,284.38","17.58B","-1.70%"
"2014年9月19日","2,329.45","2,312.98","2,331.56","2,305.52","17.46B","0.58%"
"2014年9月18日","2,315.93","2,303.85","2,319.87","2,297.93","18.91B","0.35%"
"2014年9月17日","2,307.89","2,298.98","2,309.05","2,282.79","21.08B","0.49%"
"2014年9月16日","2,296.56","2,341.03","2,347.93","2,293.87","30.27B","-1.82%"
"2014年9月15日","2,339.14","2,330.19","2,340.45","2,321.59","21.51B","0.31%"
"2014年9月12日","2,331.95","2,308.35","2,331.95","2,302.77","19.35B","0.88%"
"2014年9月11日","2,311.68","2,315.73","2,343.59","2,304.60","22.22B","-0.29%"
"2014年9月10日","2,318.31","2,318.50","2,321.91","2,306.42","18.98B","-0.35%"
"2014年9月9日","2,326.53","2,328.43","2,331.92","2,315.89","19.70B","0.00%"
"2014年9月5日","2,326.43","2,311.30","2,327.56","2,307.45","21.32B","0.85%"
"2014年9月4日","2,306.86","2,290.03","2,307.70","2,283.28","19.95B","0.80%"
"2014年9月3日","2,288.63","2,268.39","2,290.55","2,268.10","21.25B","1.00%"
"2014年9月2日","2,266.05","2,239.68","2,267.51","2,234.38","19.21B","1.37%"
"2014年9月1日","2,235.51","2,220.13","2,236.29","2,217.68","12.92B","0.83%"
"2014年8月29日","2,217.20","2,198.95","2,218.70","2,193.26","10.52B","0.97%"
"2014年8月28日","2,195.82","2,210.48","2,219.47","2,194.86","12.42B","-0.62%"
"2014年8月27日","2,209.47","2,207.03","2,216.67","2,204.05","12.09B","0.11%"
"2014年8月26日","2,207.11","2,225.29","2,232.78","2,200.62","16.35B","-0.99%"
"2014年8月25日","2,229.27","2,241.10","2,241.55","2,222.01","16.21B","-0.51%"
"2014年8月22日","2,240.81","2,228.97","2,243.30","2,225.27","16.01B","0.46%"
"2014年8月21日","2,230.46","2,239.57","2,240.08","2,211.63","16.57B","-0.44%"
