"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年11月3日","3,271.07","3,239.81","3,278.38","3,237.85","21.53B","1.42%"
"2020年11月2日","3,225.12","3,228.72","3,242.80","3,209.91","22.68B","0.02%"
"2020年10月30日","3,224.53","3,278.63","3,279.86","3,219.42","23.02B","-1.47%"
"2020年10月29日","3,272.73","3,235.76","3,289.77","3,231.12","18.47B","0.11%"
"2020年10月28日","3,269.24","3,256.22","3,275.87","3,238.38","17.32B","0.46%"
"2020年10月27日","3,254.32","3,240.74","3,258.34","3,235.54","14.91B","0.10%"
"2020年10月26日","3,251.12","3,258.70","3,264.45","3,226.60","16.77B","-0.82%"
"2020年10月23日","3,278.00","3,308.16","3,326.05","3,276.62","17.42B","-1.04%"
"2020年10月22日","3,312.50","3,315.82","3,320.88","3,281.37","16.60B","-0.38%"
"2020年10月21日","3,325.02","3,332.15","3,332.15","3,304.17","17.76B","-0.09%"
"2020年10月20日","3,328.10","3,307.15","3,328.10","3,293.77","16.51B","0.47%"
"2020年10月19日","3,312.67","3,351.10","3,371.09","3,307.84","21.23B","-0.71%"
"2020年10月16日","3,336.36","3,334.46","3,348.95","3,319.11","19.43B","0.13%"
"2020年10月15日","3,332.18","3,342.92","3,354.58","3,330.00","19.10B","-0.26%"
"2020年10月14日","3,340.78","3,353.62","3,353.62","3,332.96","19.87B","-0.56%"
"2020年10月13日","3,359.75","3,353.12","3,361.83","3,334.50","20.49B","0.04%"
"2020年10月12日","3,358.47","3,287.33","3,359.15","3,286.11","25.96B","2.64%"
"2020年10月9日","3,272.08","3,262.61","3,280.51","3,260.19","18.83B","1.68%"
"2020年9月30日","3,218.05","3,232.71","3,244.91","3,202.34","15.35B","-0.20%"
"2020年9月29日","3,224.36","3,231.85","3,242.79","3,219.79","15.13B","0.21%"
"2020年9月28日","3,217.53","3,224.98","3,238.18","3,210.89","15.60B","-0.06%"
"2020年9月25日","3,219.42","3,234.37","3,239.47","3,208.03","16.48B","-0.12%"
"2020年9月24日","3,223.18","3,262.88","3,265.35","3,221.24","20.67B","-1.72%"
"2020年9月23日","3,279.71","3,278.84","3,289.76","3,264.89","16.92B","0.17%"
